Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Jivan Sobrinho-Wheeler,Timothy J. Toomey,Quinton Zondervan,Yeas,Nays,Present,Absent,Recused,Link,Notes,Summary
CMA 2020 #243,2020-10-26 Regular,2020-10-26,7,Awaiting Report Response,,POR 2020 #117,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2690&MediaPosition=&ID=12812&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-24, regarding a report on the distribution of gator bags."
CMA 2020 #244,2020-10-26 Regular,2020-10-26,8,Awaiting Report Response,,POR 2019 #137,,Referred,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2690&MediaPosition=&ID=12814&CssClass=,referred to the law department for further review.,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19-49, regarding a report on restrictions on signage specific to retail establishments that sell e-cigarettes and other vaping devices."
CMA 2020 #245,2020-10-26 Regular,2020-10-26,9,Awaiting Report Response,,POR 2020 #35,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2690&MediaPosition=&ID=12840&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-15, regarding a report on the feasibility of limiting the number of Saturdays and holidays any one developer can be permitted for any one construction project."
CMA 2020 #246,2020-10-26 Regular,2020-10-26,10,Awaiting Report Response,,POR 2020 #52,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2690&MediaPosition=&ID=12841&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-22, regarding a report on working with the Inspectional Services Department to increase the fines for absentee property owners who continue to have violations stemming from rodent infestation."
CMA 2020 #247,2020-11-02 Regular,2020-11-02,1,Transmitting Communication,,,,Placed on File,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2691&MediaPosition=&ID=12859&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a COVID-19 update."
CMA 2020 #248,2020-11-02 Regular,2020-11-02,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2691&MediaPosition=&ID=12886&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  $100,000, from Free Cash to the General Fund Executive Department Other Ordinary Maintenance account to support the City’s Patio Heater Reimbursement Program."
CMA 2020 #249,2020-11-02 Regular,2020-11-02,3,Awaiting Report Response,AR-20-46,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2691&MediaPosition=&ID=12862&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-46, regarding a report on traffic measures on Concord Avenue."
CMA 2020 #250,2020-11-02 Regular,2020-11-02,4,Awaiting Report Response,,POR 2020 #194,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2691&MediaPosition=&ID=12861&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-55, regarding a report on visitor parking in permit Area 14."
CMA 2020 #251,2020-11-02 Regular,2020-11-02,5,Awaiting Report Response,,POR 2020 #186,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2691&MediaPosition=&ID=12885&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-42, regarding enforcement of illegal parking in front of LBJ Apartments on Erie Street."
CMA 2020 #252,2020-11-02 Regular,2020-11-02,6,Transmitting Communication,,,,Referred,8-0-1,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2691&MediaPosition=&ID=12880&CssClass=,to CAL #3,"A communication transmitted from Louis A. DePasquale, City Manager, relative draft alternative language to the Green Energy Analysis Zoning Petition."
CMA 2020 #253,2020-11-02 Regular,2020-11-02,7,Transmitting Communication,,,,Defeated,4-5-0,no,no,yes,no,no,yes,yes,no,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2691&MediaPosition=&ID=12888&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a request for approval to  increase of the fee for a Resident Parking Permit/Pass, which is currently $25.00, to $40.00, by amending the provisions of Chapter 10, Section 10.17.070 of the Municipal Code."
CMA 2020 #254,2020-11-09 Regular,2020-11-09,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2692&MediaPosition=&ID=12934&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a COVID-19 update."
CMA 2020 #255,2020-11-09 Regular,2020-11-09,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2692&MediaPosition=&ID=12955&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of an Elections COVID Response Grant, in the amount of $70,510.50, received from the Center for Tech and Civic Life, to the Grant Fund Election Commission Other Ordinary Maintenance Account which will be used to help cover the costs associated with ballot drop boxes, location rental and cleaning, voting equipment and supplies, and other costs related to the 2020 Presidential Election."
CMA 2020 #256,2020-11-09 Regular,2020-11-09,3,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2692&MediaPosition=&ID=12954&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of a new member of the Human Rights Commission for a term of three years, effective November 9, 2020:  Stefanie Haug"
CMA 2020 #257,2020-11-16 Regular,2020-11-16,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2756&MediaPosition=&ID=12985&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $850,000 from Free Cash to the Public Investment Fund Public Works Department Extraordinary Expenditures account, for a 30 -Year Post Closure Evaluation and Report of Danehy Park."
CMA 2020 #258,2020-11-16 Regular,2020-11-16,2,Awaiting Report Response,,POR 2020 #239,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2756&MediaPosition=&ID=12992&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-57, regarding the use of party buses in the Cambridge Crossing area."
CMA 2020 #259,2020-11-16 Regular,2020-11-16,3,Awaiting Report Response,,POR 2019 #60,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2756&MediaPosition=&ID=12993&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19-22, regarding the feasibility of allowing small businesses to host live acoustic music performances without a license."
CMA 2020 #260,2020-11-16 Regular,2020-11-16,4,Transmitting Communication,,,Quinton Zondervan,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2756&MediaPosition=&ID=12987&CssClass=,CHARTER RIGHT EXERCISED BY COUNCILLOR ZONDERVAN,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a request for acceptance of G.L. Chapter 39, Section 23D to allow members of adjudicatory boards and commissions to vote on a matter before the adjudicatory body of which they are a member if the board member has missed one of the sessions regarding the matter at issue."
CMA 2020 #261,2020-11-16 Regular,2020-11-16,5,Awaiting Report Response,,POR 2020 #195,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2756&MediaPosition=&ID=12991&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-45, regarding examining what traffic calming measures may be implemented for Walden Street, Raymond Street and Richdale Avenue."
CMA 2020 #262,2020-11-16 Regular,2020-11-16,6,Awaiting Report Response,,POR 2020 #25,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2756&MediaPosition=&ID=12988&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-10, regarding renaming the Agassiz neighborhood."
CMA 2020 #263,2020-11-16 Regular,2020-11-16,7,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2756&MediaPosition=&ID=12984&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $310,000 from Free Cash to the Public Investment Fund Community Development Department Extraordinary Expenditures account which will be used for consultant services to conduct a study that will evaluate resident experiences in affordable housing in Cambridge."
CMA 2020 #264,2020-11-16 Regular,2020-11-16,8,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2756&MediaPosition=&ID=12983&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a request that the City Council extend its prior authorization for the City Manager or his designee to grant street obstruction approvals, along with any other necessary approvals for temporary street obstructions, from this date until sixty (60) days past the end of the Commonwealth of Massachusetts State of Emergency."
CMA 2020 #265,2020-11-16 Regular,2020-11-16,9,Transmitting Communication,,POR 2020 #147,,Referred to the Petition,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2756&MediaPosition=&ID=12998&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Green Energy Analysis Zoning Petition Substitute Zoning Text received from the Community Development Department and the Law Department."
CMA 2020 #266,2020-11-23 Regular,2020-11-23,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2693&MediaPosition=&ID=13024&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a Covid-19 update."
CMA 2020 #267,2020-11-23 Regular,2020-11-23,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2693&MediaPosition=&ID=13032&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $9,277,190 from Free Cash to the General Fund School Department Salaries and Wages account ($7,446,360), General Fund School Department Other Ordinary Maintenance account ($1,781,455), and General Fund School Department Travel and Training account ($49,375), to fund additional costs associated with the reopening of schools with health and safety mitigations related to COVID-19."
CMA 2020 #268,2020-11-23 Regular,2020-11-23,3,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2693&MediaPosition=&ID=13029&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a request to move to Executive Session to discuss the purchase, exchange, lease or value of real property."
CMA 2020 #269,2020-11-30 Regular,2020-11-30,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2694&MediaPosition=&ID=13025&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a Covid-19 update."
CMA 2020 #270,2020-11-30 Regular,2020-11-30,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2694&MediaPosition=&ID=13046&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $1,250,000 from Free Cash to the Public Investment Fund Emergency Communications Extraordinary Expense account which will be used for site maintenance and the replacement of critical infrastructure to support the City of Cambridge radio system."
CMA 2020 #271,2020-11-30 Regular,2020-11-30,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2694&MediaPosition=&ID=13087&CssClass=,"two roll calls, both are unanimous","Transmitting Communication from Louis A. DePasquale, City Manager, relative to two appropriations totalling $9,500,000 related to the Foundry as follows:  $6 million from Free Cash to the Public Investment Fund Department of Public Works Extraordinary Expenditures Account; and $3.5 million from the Cambridge Redevelopment Authority to the Public Investment Fund Department of Public Works Extraordinary Expenditures Account."
CMA 2020 #272,2020-11-30 Regular,2020-11-30,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2694&MediaPosition=&ID=13088&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $450,000 from Free Cash to the General Fund Law Department Other Ordinary Maintenance account which will be used to cover unanticipated increases in costs relating to legal matters handled by outside counsel legal services, stenographers and court reporters, constable services, consultants and experts, as well as filing fees and related costs in matters pending in courts and/or administrative bodies."
CMA 2020 #273,2020-12-07 Regular,2020-12-07,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2695&MediaPosition=&ID=13120&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a COVID-19 update."
CMA 2020 #274,2020-12-07 Regular,2020-12-07,2,Transmitting Communication,,,Jivan Sobrinho-Wheeler,Order Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2695&MediaPosition=&ID=13131&CssClass=,Exercised by Councillor Sobrinho-Wheeler,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a Home Rule Petition seeking special legislation from the Legislature which would authorize the City of Cambridge to provide police, fire and other emergency services (“Emergency Services”) to portions of the Cambridge Crossing project that are partially located in the cities of Boston and Somerville, with one such property wholly located within Somerville."
CMA 2020 #275,2020-12-07 Regular,2020-12-07,3,Awaiting Report Response,,POR 2020 #28,Patricia Nolan,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2695&MediaPosition=&ID=13130&CssClass=,Exercised by Councillor Nolan,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-12, regarding the feasibility of adding bike parking rings to parking meters. CHARTER RIGHT EXERCISED BY COUNCILLOR NOLAN IN COUNCIL DECEMBER 7, 2020"
CMA 2020 #276,2020-12-07 Regular,2020-12-07,4,Awaiting Report Response,,POR 2019 #340,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2695&MediaPosition=&ID=13129&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19-134, regarding increasing funding to the City's HomeBridge program."
CMA 2020 #277,2020-12-07 Regular,2020-12-07,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2695&MediaPosition=&ID=13121&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of Federal CARES Act funds in the amount of $1,256,118 to the Public Investment Fund Community Development Department Extraordinary Expenditures account which will be used to assist residents and small business owners who are impacted by the virus, and to support emergency housing assistance efforts."
CMA 2020 #278,2020-12-07 Regular,2020-12-07,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2695&MediaPosition=&ID=13123&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of new Emergency Solutions Grant (ESG) funds from the U.S. Department of Housing and Urban Development (HUD) in the amount of $2,268.869.00 to the Grant Fund Department of Human Services Programs Salary and Wages account ($106,013.00) and to the Grant Fund Department of Human Services Programs Other Ordinary Maintenance account ($2,162,856.00) and will be used to prevent, prepare for, and respond to the coronavirus pandemic among individuals and families who are homeless and will support shelter operating costs and provision of essential services to homeless persons outside of a shelter setting."
CMA 2020 #279,2020-12-07 Regular,2020-12-07,7,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2695&MediaPosition=&ID=13126&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Friends of the Community Learning Center (CLC) grant in the amount of $36,450.00 to the Grant Fund Department of Human Service Programs Salary and Wages account ($32,817.00), and to the Other Ordinary Maintenance account ($3,633.00) will be used to fund the classes, advising and coaching of the Bridge to College Program students from July 2020 through June 2021."
CMA 2020 #280,2020-12-07 Regular,2020-12-07,8,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2695&MediaPosition=&ID=13124&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Friends of the Community Learning Center (CLC) grant funded by Friends of the Community Learning Center through individual donations in the amount of $4,550.00 to the Grant Fund Department of Human Service Programs Salary and Wages account ($4,550.00) which will be used to support English for Speakers of Other Languages classes at the Community Learning Center."
CMA 2020 #281,2020-12-07 Regular,2020-12-07,9,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2695&MediaPosition=&ID=13127&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Friends of the Community Learning Center (CLC) grant in the amount of $38,000.00 to the Grant Fund Department of Human Service Programs Salary and Wages account ($31,828.00), to the Other Ordinary Maintenance account ($4,672.00), and to the Travel and Training account ($1,500.00) and will provide support for Bridge Program advising, coaching and mentoring, advising for the ESOL/Certified Nursing Assistant Program, and education and career advising for other CLC students."
CMA 2020 #282,2020-12-07 Regular,2020-12-07,10,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2695&MediaPosition=&ID=13122&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Children’s Trust Fund grant for the Center for Families program in the amount of $55,125.00 to the Grant Fund Department of Human Service Programs Salary and Wages account ($48,411.00) and to the Other Ordinary Maintenance account ($6,714.00) which will be used by the Center for Families to support family programs targeting parents of children up to eight years, which include a variety of family support and parent education programs and resources; to support a portion of salary and benefit costs of staff who lead parenting education and support programming across the city; and to also be used for parent participation stipends and program supplies."
CMA 2020 #283,2020-12-14 Regular,2020-12-14,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2757&MediaPosition=&ID=13170&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to an update on COVID-19."
CMA 2020 #284,2020-12-14 Regular,2020-12-14,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2757&MediaPosition=&ID=13172&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of $15,000 from the General Fund Reserves Other Ordinary Maintenance account to the General Fund Women’s Commission Other Ordinary Maintenance account to pay for costs associated with expanded efforts on the Mapping Feminist Cambridge: Inman Square and the Mapping Feminist Cambridge: Central Square projects."
CMA 2020 #285,2020-12-14 Regular,2020-12-14,3,Awaiting Report Response,,POR 2019 #126,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2757&MediaPosition=&ID=13171&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19-74 and 19-45, regarding reviewing public monuments, memorials and markers and streets, schools and public buildings."
CMA 2020 #286,2020-12-14 Regular,2020-12-14,4,Awaiting Report Response,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2757&MediaPosition=&ID=13195&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-62, regarding providing interpreters at polling locations."
CMA 2020 #287,2020-12-14 Regular,2020-12-14,5,Awaiting Report Response,,POR 2020 #225,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2757&MediaPosition=&ID=13199&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-54, regarding a report on drafting an ordinance requiring the city to only purchase goods that are made in full compliance with USA environmental and labor standards."
CMA 2020 #288,2020-12-21 Regular,2020-12-21,1,Transmitting Communication,,,,Placed on File,8 to 0,yes,yes,yes,yes,yes,absent,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2697&MediaPosition=&ID=13201&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a COVID-19 update."
CMA 2020 #289,2020-12-21 Regular,2020-12-21,2,Awaiting Report Response,,POR 2020 #190,,Placed on File,8 to 0,yes,yes,yes,yes,yes,absent,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2697&MediaPosition=&ID=13241&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-44, regarding a Vaccine Task Force."
CMA 2020 #290,2020-12-21 Regular,2020-12-21,3,Appropriation,,,,Adopted,unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2697&MediaPosition=&ID=13222&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Low Income Home Energy Assistance Program grant in the amount of $716,596.00 funded by the Federal Department of Health and Human Services and administered in Massachusetts by the Commonwealth’s Department of Housing and Community Development to the Grant Fund Human Service Programs Salary and Wages account ($127,864.50), and to the Grant Fund Human Service Programs Other Ordinary Maintenance account ($588,731.50) which will provide funds for the operation of the Low Income Home Energy Assistance Program serving Cambridge and Somerville."
CMA 2020 #291,2020-12-21 Regular,2020-12-21,4,Appointment,,,,Placed on File,unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2697&MediaPosition=&ID=13227&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following persons as new members of the Cambridge Health Alliance Board of Trustees: Barbara Guthrie, Lori Lander and Yvette Verdieu."
CMA 2020 #292,2020-12-21 Regular,2020-12-21,5,Transmitting Communication,,,,Report Accepted,unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2697&MediaPosition=&ID=13226&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a Surveillance Technology Impact Report relative to the Munis Tax Modules, which is software suite that contains several tax modules (Real Estate, Personal Property, MV Excise, and Boat) as well as provides access to the MA environmental police registration database."
CMA 2020 #293,2020-12-21 Regular,2020-12-21,6,Transmitting Communication,,,,Referred,unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2697&MediaPosition=&ID=13242&CssClass=,to the Ordinance Committee,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a response to Policy Order No. O-8 of July 27, 2020, regarding a review of the proposed amendments to Chapter 2.119 of the Municipal Code - the Domestic Partnership Ordinance."
CMA 2020 #294,2020-12-21 Regular,2020-12-21,7,Transmitting Communication,,,,Referred,unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2697&MediaPosition=&ID=13223&CssClass=,to MXD petition,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a recommendation from the Planning Board to adopt with modifications, the MXD Amendments Zoning Petition."
CMA 2020 #295,2020-12-21 Regular,2020-12-21,8,Transmitting Communication,,,,Referred to the Petition,unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2697&MediaPosition=&ID=13224&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a Planning Board recommendation to adoption the Cannabis Delivery Zoning Petition."
