Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Vote,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2019 #38,11,2019-01-28 Regular,2019-01-28,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2344&MediaPosition=&ID=8518&CssClass=,Resolution on the death of Patrick Clavette Jr.,"BY AN AFFIRMATIVE VOTE OF NINE MEMBERS, UNANIMOUSLY SPONSORED"
RES 2019 #39,12,2019-01-28 Regular,2019-01-28,Death Resolution,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2344&MediaPosition=&ID=8520&CssClass=,Resolution on the death of Leigh Litchfield.,"BY AN AFFIRMATIVE VOTE OF NINE MEMBERS, UNANIMOUSLY SPONSORED"
RES 2019 #40,13,2019-01-28 Regular,2019-01-28,Congratulations,Sumbul Siddiqui,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2344&MediaPosition=&ID=8522&CssClass=,Congratulations to the Data 4 Black Lives team on their recent 2019 Conference.,"BY AN AFFIRMATIVE VOTE OF NINE MEMBERS, UNANIMOUSLY SPONSORED"
RES 2019 #41,1,2019-02-04 Regular,2019-02-04,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2345&MediaPosition=&ID=8559&CssClass=,Resolution on the death of Anna Rossini.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #42,2,2019-02-04 Regular,2019-02-04,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2345&MediaPosition=&ID=8561&CssClass=,That the City Council go on record recognizing February 2019 as Black History Month in the City of Cambridge.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #43,3,2019-02-04 Regular,2019-02-04,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2345&MediaPosition=&ID=8562&CssClass=,Resolution on the death of Francis J. Judd Sr.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #44,4,2019-02-04 Regular,2019-02-04,Congratulations,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2345&MediaPosition=&ID=8573&CssClass=,Congratulations to Valerie Beaudrault on the occasion of her retirement from Simmons College.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #45,5,2019-02-04 Regular,2019-02-04,Retirement Resolution,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2345&MediaPosition=&ID=8577&CssClass=,Retirement of Paul Burke from the Cambridge Police Department.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #46,6,2019-02-04 Regular,2019-02-04,Congratulations,Alanna Mallon,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2345&MediaPosition=&ID=8578&CssClass=,Congratulations to Jordan Rosenthal on her Dean's List Recognition for the Fall 2018 semester.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #47,7,2019-02-04 Regular,2019-02-04,Retirement Resolution,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2345&MediaPosition=&ID=8579&CssClass=,Retirement of Michael Hughes from the Cambridge Fire Department.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #48,8,2019-02-04 Regular,2019-02-04,Congratulations,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2345&MediaPosition=&ID=8581&CssClass=,Congratulations to Cambridge NAACP Women Leaders.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #49,9,2019-02-04 Regular,2019-02-04,Congratulations,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2345&MediaPosition=&ID=8571&CssClass=,"Thanks to the sponsors, participating restaurants and breweries on the organization and success of the East Cambridge Fire Fundraiser on February 2, 2019.",BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #50,10,2019-02-04 Regular,2019-02-04,Death Resolution,Alanna Mallon,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2345&MediaPosition=&ID=8587&CssClass=,Resolution on the death of Theodore Adelson.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #51,1,2019-02-11 Regular,2019-02-11,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2346&MediaPosition=&ID=8558&CssClass=,"Resolution on the death of Kenneth J. ""Kenny"" Rudgis.",BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #52,2,2019-02-11 Regular,2019-02-11,Congratulations,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2346&MediaPosition=&ID=8588&CssClass=,Congratulations to the New England Patriots on defeating the Los Angeles Rams in Super Bowl LII.,BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #53,3,2019-02-11 Regular,2019-02-11,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2346&MediaPosition=&ID=8629&CssClass=,"Resolution on the death of Robert ""Bob"" McKim.",BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #54,4,2019-02-11 Regular,2019-02-11,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2346&MediaPosition=&ID=8630&CssClass=,Resolution on the death of John F. McElroy.,BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #55,5,2019-02-11 Regular,2019-02-11,Happy Birthday Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2346&MediaPosition=&ID=8640&CssClass=,Happy 40th Birthday wishes to someone very special.,BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #56,1,2019-02-25 Regular,2019-02-25,Congratulations,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8648&CssClass=,"Congratulations to the members of the Children’s March & Love Rally, the organizers, and the participants of the event that took place on February 14, 2019.",BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #57,2,2019-02-25 Regular,2019-02-25,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8666&CssClass=,Welcome Pastor Jaron Green to his new role as the Interim Pastor of the Union Baptist Church.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #58,3,2019-02-25 Regular,2019-02-25,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8667&CssClass=,Resolution on the death of Joanne Coleman.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #59,4,2019-02-25 Regular,2019-02-25,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8668&CssClass=,Resolution on the death of Patricia Caldaroni.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #60,5,2019-02-25 Regular,2019-02-25,Death Resolution,Quinton Zondervan,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8654&CssClass=,Resolution on the death of Paula Sharaga.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #61,6,2019-02-25 Regular,2019-02-25,Congratulations,Sumbul Siddiqui,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8675&CssClass=,Congratulations to Robin Brown on The Pull-Up LLC.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #62,7,2019-02-25 Regular,2019-02-25,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8684&CssClass=,Appreciation for Red Mitchell,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #63,8,2019-02-25 Regular,2019-02-25,Retirement Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8694&CssClass=,Retirement of Patrick Wardell as the Chief Executive Officer of the Cambridge Health Alliance.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #64,9,2019-02-25 Regular,2019-02-25,Congratulations,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8695&CssClass=,Congratulations to Tutoring Plus of Cambridge on the occasion of their 55th Anniversary.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #65,10,2019-02-25 Regular,2019-02-25,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8706&CssClass=,Resolution on the death of Manuel Costa Bedugnis.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #66,11,2019-02-25 Regular,2019-02-25,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8707&CssClass=,Resolution on the death of John J. Courtney Jr.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #67,12,2019-02-25 Regular,2019-02-25,Death Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2347&MediaPosition=&ID=8745&CssClass=,Resolution on the death of Robert Scott.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #68,1,2019-03-04 Regular,2019-03-04,Congratulations,Jan Devereux,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2348&MediaPosition=&ID=8711&CssClass=,Congratulations to Dolores Huerta on receiving the Radcliffe Medal.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED. Clear sponsors
RES 2019 #69,2,2019-03-04 Regular,2019-03-04,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2348&MediaPosition=&ID=8762&CssClass=,Resolution on the death of Alice “Allie” Sarchioni.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #70,3,2019-03-04 Regular,2019-03-04,Retirement Resolution,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2348&MediaPosition=&ID=8773&CssClass=,Retirement of Ameedah Abuwi from 22-Cityview.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #71,4,2019-03-04 Regular,2019-03-04,Retirement Resolution,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2348&MediaPosition=&ID=8775&CssClass=,Retirement of Roxanne Davies from the Cambridge Housing Authority.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #72,5,2019-03-04 Regular,2019-03-04,Retirement Resolution,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2348&MediaPosition=&ID=8776&CssClass=,Retirement of Carlos Edwards from the Cambridge’s Housing Authority.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #73,6,2019-03-04 Regular,2019-03-04,Death Resolution,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2348&MediaPosition=&ID=8777&CssClass=,"Resolution on the death of Nathanial A. ""Nate"" Rookard, Sr.",BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #74,7,2019-03-04 Regular,2019-03-04,Congratulations,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2348&MediaPosition=&ID=8778&CssClass=,Retirement of Hussein Musa from the Department of Public Works.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #75,8,2019-03-04 Regular,2019-03-04,Congratulations,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2348&MediaPosition=&ID=8779&CssClass=,"Retirement of Albert Pedro, Jr. from the Department of Public Works.",BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #76,1,2019-03-18 Regular,2019-03-18,Congratulations,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2350&MediaPosition=&ID=8782&CssClass=,Congratulations to Superintendent Stephen Ahern and Superintendent Jack Albert of the Cambridge Police Department for being selected into the National Preparedness Leadership Initiative’s inaugural Meta-Leadership Project Hall of Fame.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #77,2,2019-03-18 Regular,2019-03-18,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2350&MediaPosition=&ID=8793&CssClass=,Speedy Recovery wishes to Jeff Walker.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #78,3,2019-03-18 Regular,2019-03-18,Death Resolution,Jan Devereux,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2350&MediaPosition=&ID=8796&CssClass=,Resolution on the death of Asa Brebner.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #79,4,2019-03-18 Regular,2019-03-18,Congratulations,Jan Devereux,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2350&MediaPosition=&ID=8797&CssClass=,Congratulations to Valery Lyman on her Breaking Ground exhibit.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #80,5,2019-03-18 Regular,2019-03-18,Death Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2350&MediaPosition=&ID=8800&CssClass=,Resolution on the death of Colita P. Harris,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #81,6,2019-03-18 Regular,2019-03-18,Happy Birthday Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2350&MediaPosition=&ID=8801&CssClass=,Happy Birthday wishes to Moses Moore.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #82,7,2019-03-18 Regular,2019-03-18,Death Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2350&MediaPosition=&ID=8802&CssClass=,Resolution on the death of James Edward Washington.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #83,8,2019-03-18 Regular,2019-03-18,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2350&MediaPosition=&ID=8810&CssClass=,Resolution on the death of Gregory M. Aufiero.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #84,9,2019-03-18 Regular,2019-03-18,Congratulations,Sumbul Siddiqui,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2350&MediaPosition=&ID=8824&CssClass=,"Congratulations to author Jen Deaderick on the Publication of ""She the People.""",BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #85,10,2019-03-18 Regular,2019-03-18,Congratulations,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2350&MediaPosition=&ID=8826&CssClass=,Congratulations to Cambridge Brewing Company on celebrating their 30th anniversary.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #86,1,2019-03-25 Regular,2019-03-25,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2351&MediaPosition=&ID=8781&CssClass=,Retirement of John Hathaway from the Cambridge Fire Department.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #87,2,2019-03-25 Regular,2019-03-25,Death Resolution,Jan Devereux,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2351&MediaPosition=&ID=8825&CssClass=,Resolution on the death of Charles S. Smith.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #88,3,2019-03-25 Regular,2019-03-25,Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2351&MediaPosition=&ID=8899&CssClass=,Speedy Recovery wishes to Representative Ayanna Pressley.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #89,4,2019-03-25 Regular,2019-03-25,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2351&MediaPosition=&ID=8903&CssClass=,Resolution on the death of Elizabeth St. John Myer Dunn.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #90,1,2019-04-01 Regular,2019-04-01,Death Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2352&MediaPosition=&ID=8935&CssClass=,Resolution on the death of Joyce Egleston.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #91,2,2019-04-01 Regular,2019-04-01,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2352&MediaPosition=&ID=8936&CssClass=,Speedy recovery wishes to Esther Splaine.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #92,3,2019-04-01 Regular,2019-04-01,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2352&MediaPosition=&ID=8905&CssClass=,"Resolution on the death of retired Cambridge Police Officer Edward ""Eddie"" Burke.",BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #93,4,2019-04-01 Regular,2019-04-01,Death Resolution,Jan Devereux,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2352&MediaPosition=&ID=8943&CssClass=,Resolution on the death of Charles Webb.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED. AS AMENDED
RES 2019 #94,5,2019-04-01 Regular,2019-04-01,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2352&MediaPosition=&ID=8944&CssClass=,Resolution on the death of Maria (Pinto) Henley.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #95,6,2019-04-01 Regular,2019-04-01,Congratulations,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2352&MediaPosition=&ID=8947&CssClass=,"Congratulations and wishes of success to the Professionisti Italani a Boston as well as its participants and sponsors on the upcoming ""Italian Expo Day"" to be held on April 6, 2019.",BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #96,1,2019-04-08 Regular,2019-04-08,Happy Birthday Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2353&MediaPosition=&ID=8960&CssClass=,Happy belated birthday wishes to Mary Horgan.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #97,2,2019-04-08 Regular,2019-04-08,Congratulations,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2353&MediaPosition=&ID=8983&CssClass=,Congratulations to Chicago Mayor-Elect Lori Lightfoot.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #98,3,2019-04-08 Regular,2019-04-08,Happy Birthday Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2353&MediaPosition=&ID=8988&CssClass=,Happy 100th Birthday wishes to Dr. Takako Grace Sato Salvi.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #99,4,2019-04-08 Regular,2019-04-08,Congratulations,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2353&MediaPosition=&ID=8994&CssClass=,"Congratulations to Jacqueline ""Jackie"" and Norman ""Ted"" Coffman on their 50th Wedding Anniversary.",BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #100,5,2019-04-08 Regular,2019-04-08,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2353&MediaPosition=&ID=8996&CssClass=,Resolution on the death of Isabel Cabral.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
RES 2019 #101,6,2019-04-08 Regular,2019-04-08,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2353&MediaPosition=&ID=8998&CssClass=,Resolution on the death of Jose B. Medeiros.,BY AFFIRMATIVE VOTE OF NINE MEMBERS AND UNANIMOUSLY SPONSORED
