Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Link,Description,Notes
RES 2022 #315,7,12/05/22 Regular,12/05/22,Congratulations,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4187&MediaPosition=&ID=17641&CssClass=,Best wishes to Paul Parravano as he transitions into the role of Director of Special Projects in the Office of the Executive Vice President and Treasurer.,
RES 2022 #316,8,12/05/22 Regular,12/05/22,Congratulations,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4187&MediaPosition=&ID=17695&CssClass=,Thanks to MIT administration for recent changes to the building access policy.,
RES 2022 #317,9,12/05/22 Regular,12/05/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4187&MediaPosition=&ID=17699&CssClass=,Congratulations on the Retirement of Rev. Joseph Curran,
RES 2022 #318,10,12/05/22 Regular,12/05/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4187&MediaPosition=&ID=17700&CssClass=,Congratulating Rev. Dr. Cheryl Townsend Gilkes For 36 Years of Ordination,
RES 2022 #319,1,12/19/22 Regular,12/19/22,Death Resolution,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17587&CssClass=,Resolution on the death of Thomas M. Payette,
RES 2022 #320,2,12/19/22 Regular,12/19/22,Congratulations,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17714&CssClass=,Happy 100th Birthday to Mary Ayoub.,
RES 2022 #321,3,12/19/22 Regular,12/19/22,Death Resolution,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17586&CssClass=,Resolution on the death of John Barnes.,
RES 2022 #322,4,12/19/22 Regular,12/19/22,Death Resolution,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17712&CssClass=,Resolution on the death of Patrick John Buckley.,
RES 2022 #323,5,12/19/22 Regular,12/19/22,Death Resolution,Adopted as Amended,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17740&CssClass=,Resolution on the death of Sheila Doyle Russell.,add all sponsors
RES 2022 #324,6,12/19/22 Regular,12/19/22,Congratulations,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17760&CssClass=,"Thanks to Mary Chung for her years of serving the Cambridge community from her restaurant, Mary Chung Restaurant.",
RES 2022 #325,7,12/19/22 Regular,12/19/22,Resolution,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17763&CssClass=,City Council support for Hildy Martus during a difficult time and appreciation for her years of dedicated service to the animal community.,
RES 2022 #326,8,12/19/22 Regular,12/19/22,Death Resolution,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17775&CssClass=,Resolution on the death of George Hewitt.,
RES 2022 #327,9,12/19/22 Regular,12/19/22,Congratulations,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17777&CssClass=,Congratulations to Jim Braude,
RES 2022 #328,10,12/19/22 Regular,12/19/22,Death Resolution,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17778&CssClass=,Resolution on the death of Muriel Aberdeen Williams,
RES 2022 #329,11,12/19/22 Regular,12/19/22,Congratulations,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17779&CssClass=,Congratulations to Claudine Gay,
RES 2023 #1,1,01/09/23 Regular,01/09/23,Congratulations,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17511&CssClass=,Congratulations to Cheryl Carey on her retirement from the Cambridge Health Alliance.,
RES 2023 #2,2,01/09/23 Regular,01/09/23,Congratulations,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17512&CssClass=,Congratulations to Pamela Deblois on her retirement from the Cambridge Health Alliance.,
RES 2023 #3,3,01/09/23 Regular,01/09/23,Congratulations,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17703&CssClass=,Congratulations to Emily Finn on her retirement from the Cambridge Health Alliance.,
RES 2023 #4,4,01/09/23 Regular,01/09/23,Congratulations,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17704&CssClass=,Congratulations to Laurie Graham on her retirement from the Cambridge Health Alliance.,
RES 2023 #5,5,01/09/23 Regular,01/09/23,Congratulations,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17705&CssClass=,Congratulations to Brooke Hallett on her retirement from the Cambridge Health Alliance.,
RES 2023 #6,6,01/09/23 Regular,01/09/23,Congratulations,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17706&CssClass=,Congratulations to Joseph Nunley on his retirement from the Cambridge Fire Department.,
RES 2023 #7,7,01/09/23 Regular,01/09/23,Congratulations,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17707&CssClass=,Congratulations to Lynne Seeley on her retirement from the Cambridge Health Alliance.,
RES 2023 #8,8,01/09/23 Regular,01/09/23,Congratulations,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17708&CssClass=,Congratulations to Regina Silva on her retirement from the Cambridge Public Schools.,
RES 2023 #9,9,01/09/23 Regular,01/09/23,Congratulations,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17709&CssClass=,Congratulations to Deputy Superintendent Daniel Wagner on his retirement from the Cambridge Police Department.,
RES 2023 #10,10,01/09/23 Regular,01/09/23,Death Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17852&CssClass=,Resolution on the death of John R Sullivan,
RES 2023 #11,11,01/09/23 Regular,01/09/23,Death Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17853&CssClass=,Resolution on the death of Helen Ellison.,
RES 2023 #12,12,01/09/23 Regular,01/09/23,Death Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17854&CssClass=,Resolution on the death of John D. Thompson.,
RES 2023 #13,13,01/09/23 Regular,01/09/23,Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17857&CssClass=,"Dr. Martin Luther King, Jr. Day",
RES 2023 #14,14,01/09/23 Regular,01/09/23,Death Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17859&CssClass=,Resolution on the death of Michael J. Galgay.,
RES 2023 #15,15,01/09/23 Regular,01/09/23,Death Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17861&CssClass=,Resolution on the death of Ramon W. McCree.,
RES 2023 #16,16,01/09/23 Regular,01/09/23,Death Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17862&CssClass=,Resolution on the death of Kevin O'Rourke.,
RES 2023 #17,17,01/09/23 Regular,01/09/23,Death Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17864&CssClass=,Resolution on the death of Antonio L. Pacheco.,
RES 2023 #18,18,01/09/23 Regular,01/09/23,Death Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17866&CssClass=,Resolution on the death of Maria G. DeGregorio.,
RES 2023 #19,19,01/09/23 Regular,01/09/23,Death Resolution,Adopted as Amended,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17877&CssClass=,Resolution on the death of Kathleen Walcott,
RES 2023 #20,1,01/23/23 Regular,01/23/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17515&CssClass=,Congratulations to Jose Rodriguez on his retirement from the Department of Public Works.,
RES 2023 #21,2,01/23/23 Regular,01/23/23,Congratulations,Adopted as Amended,8-0-1,yes,yes,yes,yes,yes,yes,yes,yes,absent,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17702&CssClass=,Congratulations to Jean Bracken on her retirement from the Department of Public Works.,
RES 2023 #22,3,01/23/23 Regular,01/23/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17769&CssClass=,Congratulations to William Connell on his retirement from the Water Department.,
RES 2023 #23,4,01/23/23 Regular,01/23/23,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17869&CssClass=,"Resolution on the death of George E. Pitts, Sr.",
RES 2023 #24,5,01/23/23 Regular,01/23/23,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17870&CssClass=,Resolution on the death of Patrick Corcoran.,
RES 2023 #25,6,01/23/23 Regular,01/23/23,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17871&CssClass=,Resolution on the death of Leonard J. Savignano.,
RES 2023 #26,7,01/23/23 Regular,01/23/23,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17873&CssClass=,Resolution on the death of Jeffrey Mark Friedman.,
RES 2023 #27,8,01/23/23 Regular,01/23/23,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17874&CssClass=,Resolution on the death of Susan A. Lawlor.,
RES 2023 #28,9,01/23/23 Regular,01/23/23,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17875&CssClass=,Resolution on the death of Brian F. Kelly.,
RES 2023 #29,10,01/23/23 Regular,01/23/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17915&CssClass=,Congratulations on the Retirement of Janet Izquierdo,
RES 2023 #30,11,01/23/23 Regular,01/23/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17919&CssClass=,Congratulations on the Retirement of Jeffrey Turner,
RES 2023 #31,12,01/23/23 Regular,01/23/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17921&CssClass=,Congratulations on the Retirement of Lieutenant Stephen Boyle,
RES 2023 #32,13,01/23/23 Regular,01/23/23,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17922&CssClass=,Resolution on the death of Rocco DiBiase.,
RES 2023 #33,14,01/23/23 Regular,01/23/23,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17944&CssClass=,Resolution on the death of Dr. Melvin Simms.,
RES 2023 #34,15,01/23/23 Regular,01/23/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17951&CssClass=,Congratulations on the Retirement of Firefighter Peter Mickiewicz from the Cambridge Fire Department,
RES 2023 #35,16,01/23/23 Regular,01/23/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17976&CssClass=,Congratulations to Jason Targoff for his achievements as the United States Youth Soccer National Volunteer of the Year.,
RES 2023 #36,17,01/23/23 Regular,01/23/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17978&CssClass=,Congratulations to Ruth Erickson on her exhibit at The Institute of Contemporary Art in Boston titled “To Begin Again: Artists and Childhood”.,
RES 2023 #37,18,01/23/23 Regular,01/23/23,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17985&CssClass=,Condolences To The Family of Emma Watkins,
RES 2023 #38,19,01/23/23 Regular,01/23/23,Happy Birthday Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17986&CssClass=,Happy Birthday to Dr. Estelle Disch,
RES 2023 #39,20,01/23/23 Regular,01/23/23,Retirement Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17988&CssClass=,Retirement of Ranjit Singanayagam,
RES 2023 #40,21,01/23/23 Regular,01/23/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17989&CssClass=,"Congratulations to Julia Mateus, Marisa Da Cosa, Sophie Costa, Stephanie De Carvalho, Marina Do Carmo and Ana Luisa Silva on receiving the 2023 Dr. Leitao Memorial Scholarship Fund",
RES 2023 #41,1,02/06/23 Regular,02/06/23,Congratulations,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=17771&CssClass=,Congratulations to Stephen Lyons on his retirement from the Cambridge Police Department.,
RES 2023 #42,2,02/06/23 Regular,02/06/23,Congratulations,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=17912&CssClass=,Congratulations to Janet Borron on her retirement from the City of Cambridge.,
RES 2023 #43,3,02/06/23 Regular,02/06/23,Congratulations,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=17987&CssClass=,Congratulations to Dirty Water Fitness on its Grand Re-Opening and Expansion.,
RES 2023 #44,4,02/06/23 Regular,02/06/23,Death Resolution,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18026&CssClass=,"Resolution on the death of Norman A. Smith, Sr.",
RES 2023 #45,5,02/06/23 Regular,02/06/23,Congratulations,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18027&CssClass=,Congratulations to Chef Robert Harris and Season to Taste on its Grand Re-Opening.,
RES 2023 #46,6,02/06/23 Regular,02/06/23,Death Resolution,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18050&CssClass=,Resolution on the death of Louise M. Kennedy.,
RES 2023 #47,7,02/06/23 Regular,02/06/23,Death Resolution,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18066&CssClass=,Condolences to the family of Shirley Kimbrough.,
RES 2023 #48,8,02/06/23 Regular,02/06/23,Death Resolution,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18067&CssClass=,"Resolution on the death of William ""Bill"" Lee.",
RES 2023 #49,9,02/06/23 Regular,02/06/23,Death Resolution,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18079&CssClass=,Resolution on the death of Marion Freeman.,
RES 2023 #50,10,02/06/23 Regular,02/06/23,Congratulations,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18088&CssClass=,"Congratulations to Ilyon Woo on the occasion of the publishing of her second book titled ""Master Slave Husband Wife.""",
RES 2023 #51,11,02/06/23 Regular,02/06/23,Congratulations,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18092&CssClass=,Congratulations to the Prospect Hill Academy and Community Charter School of Cambridge of being awarded the 2022 AP Computer Science Female Diversity Award.,
RES 2023 #52,12,02/06/23 Regular,02/06/23,Congratulations,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18097&CssClass=,Congratulations to Julia Hallman and Aaron Rubin on their purchase of Formaggio Kitchen.,
RES 2023 #53,13,02/06/23 Regular,02/06/23,Death Resolution,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18100&CssClass=,Resolution on the death of Alice Wolf.,
RES 2023 #54,14,02/06/23 Regular,02/06/23,Congratulations,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18132&CssClass=,Congratulations To 37th Annual NAACP Brunch Honorees,
RES 2023 #55,15,02/06/23 Regular,02/06/23,Death Resolution,Adopted,7-0-2,yes,yes,absent,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=18217&CssClass=,That the City Council formally go on record in expressing its deepest condolences to the family of Jane Richards for their tremendous loss.,
RES 2023 #56,1,02/13/23 Regular,02/13/23,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4252&MediaPosition=&ID=18131&CssClass=,"Resolution on the death of Camille M. ""Cammy"" Fournier.",
RES 2023 #57,2,02/13/23 Regular,02/13/23,Death Resolution,Adopted as Amended,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4252&MediaPosition=&ID=18080&CssClass=,Resolution on the death of Edna Dorothy Powers.,
RES 2023 #58,3,02/13/23 Regular,02/13/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4252&MediaPosition=&ID=18143&CssClass=,Congratulations to Lieutenant Buckowe Yam on his promotion to Deputy Superintendent.,
RES 2023 #59,4,02/13/23 Regular,02/13/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4252&MediaPosition=&ID=18264&CssClass=,Congratulations to Captain Vinroy L. Paul on his promotion to Deputy Fire Chief of the City of Cambridge.,
RES 2023 #60,5,02/13/23 Regular,02/13/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4252&MediaPosition=&ID=18268&CssClass=,Congratulations to Fire Captain Marvin E. Ramos on his promotion.,
RES 2023 #61,6,02/13/23 Regular,02/13/23,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4252&MediaPosition=&ID=18269&CssClass=,Congratulations to Cambridge Fire Lieutenant Ryan T. Murphy on his promotion.,
RES 2023 #62,7,02/13/23 Regular,02/13/23,Congratulations,Adopted as Amended,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4252&MediaPosition=&ID=18308&CssClass=,Congratulations to Scott Cody for being inducted into the Massachusetts State Track Coaches Association.,
RES 2023 #63,8,02/13/23 Regular,02/13/23,Congratulations,Adopted as Amended,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4252&MediaPosition=&ID=18310&CssClass=,Congratulations to Jamalh Prince for being inducted into the Massachusetts State Track Coaches Association.,
RES 2023 #64,1,02/27/23 Regular,02/27/23,Death Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4253&MediaPosition=&ID=18272&CssClass=,Resolution on the death of Eileen M. DeLouchrey,
RES 2023 #65,2,02/27/23 Regular,02/27/23,Death Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4253&MediaPosition=&ID=18416&CssClass=,Resolution on the death of Reverend Rodney Dailey.,
RES 2023 #66,3,02/27/23 Regular,02/27/23,Death Resolution,Adopted as Amended,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4253&MediaPosition=&ID=18427&CssClass=,Resolution on the death of Marion A. (Colarusso) Sullivan.,
RES 2023 #67,4,02/27/23 Regular,02/27/23,Happy Birthday Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4253&MediaPosition=&ID=18430&CssClass=,Happy 85th Birthday wishes to Patricia Dottin Taylor.,
RES 2023 #68,5,02/27/23 Regular,02/27/23,Retirement Resolution,Adopted,8-0-1,yes,yes,yes,absent,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4253&MediaPosition=&ID=18437&CssClass=,Congratulations to Frank W. Atchue on his retirement from the Inspectional Services Department.,
