Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Yeas,Nays,Present,Absent,Recused,Link,Notes
CMA 2022 #178,2022-09-12 Regular,2022-09-12,11,Awaiting Report Response,AR-22-51,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16802&CssClass=,
CMA 2022 #179,2022-09-12 Regular,2022-09-12,12,Transmitting Communication,,,,Referred to Committee,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4157&MediaPosition=&ID=16786&CssClass=,THE ORDINANCE COMMITTEE
CMA 2022 #180,2022-09-19 Regular,2022-09-19,1,Awaiting Report Response,AR-22-45,,,Placed on File,8-0-1,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4178&MediaPosition=&ID=16848&CssClass=,
CMA 2022 #181,2022-09-19 Regular,2022-09-19,2,Awaiting Report Response,AR-19-145,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4178&MediaPosition=&ID=16849&CssClass=,
CMA 2022 #182,2022-09-19 Regular,2022-09-19,3,Awaiting Report Response,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4178&MediaPosition=&ID=16852&CssClass=,
CMA 2022 #183,2022-10-03 Regular,2022-10-03,1,Awaiting Report Response,AR-22-61,,,Not Accepted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4179&MediaPosition=&ID=16989&CssClass=,
CMA 2022 #184,2022-10-03 Regular,2022-10-03,2,Awaiting Report Response,AR-22-41,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4179&MediaPosition=&ID=16990&CssClass=,
CMA 2022 #185,2022-10-03 Regular,2022-10-03,3,Awaiting Report Response,,POR 2022 #167,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4179&MediaPosition=&ID=16991&CssClass=,
CMA 2022 #186,2022-10-03 Regular,2022-10-03,4,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4179&MediaPosition=&ID=17001&CssClass=,
CMA 2022 #187,2022-10-03 Regular,2022-10-03,5,Awaiting Report Response,AR-22-62,,,Referred to the Petition,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4179&MediaPosition=&ID=16997&CssClass=,
CMA 2022 #188,2022-10-03 Regular,2022-10-03,6,Transmitting Communication,,,,Referred to the Petition,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4179&MediaPosition=&ID=16994&CssClass=,
CMA 2022 #189,2022-10-03 Regular,2022-10-03,7,Transmitting Communication,,,,Referred to the Petition,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4179&MediaPosition=&ID=16995&CssClass=,
CMA 2022 #191,2022-10-17 Regular,2022-10-17,1,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17110&CssClass=,
CMA 2022 #192,2022-10-17 Regular,2022-10-17,2,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17113&CssClass=,
CMA 2022 #193,2022-10-17 Regular,2022-10-17,3,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17115&CssClass=,
CMA 2022 #194,2022-10-17 Regular,2022-10-17,4,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17116&CssClass=,
CMA 2022 #195,2022-10-17 Regular,2022-10-17,5,Awaiting Report Response,AR-22-59,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17132&CssClass=,
CMA 2022 #196,2022-10-17 Regular,2022-10-17,6,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17117&CssClass=,
CMA 2022 #197,2022-10-17 Regular,2022-10-17,7,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17118&CssClass=,
CMA 2022 #198,2022-10-17 Regular,2022-10-17,8,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17120&CssClass=,
CMA 2022 #199,2022-10-17 Regular,2022-10-17,9,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17123&CssClass=,
CMA 2022 #200,2022-10-17 Regular,2022-10-17,10,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17108&CssClass=,
CMA 2022 #201,2022-10-17 Regular,2022-10-17,11,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17127&CssClass=,
CMA 2022 #202,2022-10-17 Regular,2022-10-17,12,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17133&CssClass=,
CMA 2022 #203,2022-10-17 Regular,2022-10-17,13,Awaiting Report Response,,POR 2022 #264,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4180&MediaPosition=&ID=17128&CssClass=,
CMA 2022 #204,2022-10-24 Regular,2022-10-24,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4181&MediaPosition=&ID=17185&CssClass=,
CMA 2022 #205,2022-10-24 Regular,2022-10-24,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4181&MediaPosition=&ID=17187&CssClass=,
CMA 2022 #206,2022-10-24 Regular,2022-10-24,3,Awaiting Report Response,AR-22-48,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4181&MediaPosition=&ID=17189&CssClass=,
CMA 2022 #207,2022-10-24 Regular,2022-10-24,4,Awaiting Report Response,AR-22-25,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4181&MediaPosition=&ID=17188&CssClass=,"Attachment A was referred to the Government Operations, Rules, and Claims Committee. . Attachment F was referred to the Ordinance Committee and Planning Board for hearing and report."
CMA 2022 #208,2022-10-31 Regular,2022-10-31,1,Appropriation,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4182&MediaPosition=&ID=17255&CssClass=,
CMA 2022 #209,2022-10-31 Regular,2022-10-31,2,Appropriation,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4182&MediaPosition=&ID=17256&CssClass=,
CMA 2022 #210,2022-10-31 Regular,2022-10-31,3,Appropriation,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4182&MediaPosition=&ID=17259&CssClass=,
CMA 2022 #211,2022-11-07 Regular,2022-11-07,1,Appropriation,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17339&CssClass=,
CMA 2022 #212,2022-11-07 Regular,2022-11-07,2,Appointment,,,,Approved,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17343&CssClass=,
CMA 2022 #213,2022-11-07 Regular,2022-11-07,3,Awaiting Report Response,AR-22-58,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17342&CssClass=,
CMA 2022 #214,2022-11-07 Regular,2022-11-07,4,Transmitting Communication,,,,Referred to the Petition,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17341&CssClass=,
CMA 2022 #215,2022-11-07 Regular,2022-11-07,5,Appropriation,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17340&CssClass=,
CMA 2022 #216,2022-11-07 Regular,2022-11-07,6,Appropriation,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17330&CssClass=,
CMA 2022 #217,2022-11-07 Regular,2022-11-07,7,Appropriation,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17331&CssClass=,
CMA 2022 #218,2022-11-07 Regular,2022-11-07,8,Appropriation,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17332&CssClass=,
CMA 2022 #219,2022-11-07 Regular,2022-11-07,9,Appropriation,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17333&CssClass=,
CMA 2022 #220,2022-11-07 Regular,2022-11-07,10,Appropriation,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17335&CssClass=,
CMA 2022 #221,2022-11-07 Regular,2022-11-07,11,Appropriation,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17336&CssClass=,
CMA 2022 #222,2022-11-07 Regular,2022-11-07,12,Appropriation,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17337&CssClass=,
CMA 2022 #223,2022-11-07 Regular,2022-11-07,13,Appropriation,,,,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17338&CssClass=,
CMA 2022 #224,2022-11-14 Regular,2022-11-14,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4184&MediaPosition=&ID=17469&CssClass=,
CMA 2022 #225,2022-11-14 Regular,2022-11-14,2,Transmitting Communication,,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4184&MediaPosition=&ID=17478&CssClass=,HEALTH AND ENVIRONMENT COMMITTEE
CMA 2022 #226,2022-11-14 Regular,2022-11-14,3,Awaiting Report Response,AR-22-72,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4184&MediaPosition=&ID=17480&CssClass=,
CMA 2022 #227,2022-11-14 Regular,2022-11-14,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4184&MediaPosition=&ID=17482&CssClass=,
CMA 2022 #228,2022-11-21 Regular,2022-11-21,1,Awaiting Report Response,,POR 2022 #291,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4185&MediaPosition=&ID=17533&CssClass=,
CMA 2022 #229,2022-11-21 Regular,2022-11-21,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4185&MediaPosition=&ID=17522&CssClass=,
CMA 2022 #230,2022-11-21 Regular,2022-11-21,3,Awaiting Report Response,AR-21-90,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4185&MediaPosition=&ID=17525&CssClass=,
CMA 2022 #231,2022-11-21 Regular,2022-11-21,4,Awaiting Report Response,AR-20-61,,Quinton Zondervan,Placed on File,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4185&MediaPosition=&ID=17532&CssClass=,EXERCISED BY COUNCILLOR ZONDERVAN
CMA 2022 #232,2022-11-21 Regular,2022-11-21,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4185&MediaPosition=&ID=17535&CssClass=,
CMA 2022 #233,2022-11-21 Regular,2022-11-21,6,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4185&MediaPosition=&ID=17540&CssClass=,
CMA 2022 #234,2022-11-21 Regular,2022-11-21,7,Awaiting Report Response,AR-22-77,,,Referred to the Petition,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4185&MediaPosition=&ID=17521&CssClass=,
CMA 2022 #235,2022-12-05 Regular,2022-12-05,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4187&MediaPosition=&ID=17597&CssClass=,
CMA 2022 #236,2022-12-05 Regular,2022-12-05,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4187&MediaPosition=&ID=17598&CssClass=,
CMA 2022 #237,2022-12-05 Regular,2022-12-05,3,Transmitting Communication,,,,Approved,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4187&MediaPosition=&ID=17637&CssClass=,AND PLACE ON FILE
CMA 2022 #238,2022-12-05 Regular,2022-12-05,4,Transmitting Communication,,,,Referred to the Petition,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4187&MediaPosition=&ID=17592&CssClass=,
CMA 2022 #239,2022-12-05 Regular,2022-12-05,5,Transmitting Communication,,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4187&MediaPosition=&ID=17623&CssClass=,Ordinance Committee and Planning Board for hearing and report
CMA 2022 #240,2022-12-05 Regular,2022-12-05,6,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4187&MediaPosition=&ID=17621&CssClass=,
CMA 2022 #241,2022-12-05 Regular,2022-12-05,7,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4187&MediaPosition=&ID=17698&CssClass=,
CMA 2022 #242,2022-12-19 Regular,2022-12-19,1,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17742&CssClass=,
CMA 2022 #243,2022-12-19 Regular,2022-12-19,2,Appropriation,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17743&CssClass=,
CMA 2022 #244,2022-12-19 Regular,2022-12-19,3,Appropriation,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17751&CssClass=,
CMA 2022 #245,2022-12-19 Regular,2022-12-19,4,Appropriation,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17750&CssClass=,
CMA 2022 #246,2022-12-19 Regular,2022-12-19,5,Appointment,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17753&CssClass=,
CMA 2022 #247,2022-12-19 Regular,2022-12-19,6,Appropriation,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17752&CssClass=,
CMA 2022 #248,2022-12-19 Regular,2022-12-19,7,Appropriation,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17754&CssClass=,
CMA 2022 #249,2022-12-19 Regular,2022-12-19,8,Appropriation,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17755&CssClass=,
CMA 2022 #250,2022-12-19 Regular,2022-12-19,9,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17756&CssClass=,
CMA 2022 #251,2022-12-19 Regular,2022-12-19,10,Transmitting Communication,,,,Referred to the Petition,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17746&CssClass=,
CMA 2022 #252,2022-12-19 Regular,2022-12-19,11,Transmitting Communication,,,,Referred to the Petition,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17748&CssClass=,
CMA 2022 #253,2022-12-19 Regular,2022-12-19,12,Awaiting Report Response,AR-22-79,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4189&MediaPosition=&ID=17761&CssClass=,
CMA 2023 #1,2023-01-09 Regular,2023-01-09,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17855&CssClass=,
CMA 2023 #2,2023-01-09 Regular,2023-01-09,2,Transmitting Communication,,,,Placed on File,7-0-2,yes,yes,yes,yes,yes,yes,absent,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17838&CssClass=,
CMA 2023 #3,2023-01-09 Regular,2023-01-09,3,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17839&CssClass=,
CMA 2023 #4,2023-01-09 Regular,2023-01-09,4,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17844&CssClass=,
CMA 2023 #5,2023-01-09 Regular,2023-01-09,5,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17846&CssClass=,
CMA 2023 #6,2023-01-09 Regular,2023-01-09,6,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17845&CssClass=,
CMA 2023 #7,2023-01-09 Regular,2023-01-09,7,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17850&CssClass=,
CMA 2023 #8,2023-01-09 Regular,2023-01-09,8,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17849&CssClass=,
CMA 2023 #9,2023-01-09 Regular,2023-01-09,9,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17848&CssClass=,
CMA 2023 #10,2023-01-09 Regular,2023-01-09,10,Transmitting Communication,,,,Referred to the Petition,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17840&CssClass=,
CMA 2023 #11,2023-01-09 Regular,2023-01-09,11,Transmitting Communication,,,,Referred to the Petition,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17843&CssClass=,
CMA 2023 #12,2023-01-09 Regular,2023-01-09,12,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17863&CssClass=,
CMA 2023 #13,2023-01-09 Regular,2023-01-09,13,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17865&CssClass=,
CMA 2023 #14,2023-01-09 Regular,2023-01-09,14,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17868&CssClass=,
CMA 2023 #15,2023-01-23 Regular,2023-01-23,1,Appropriation,,,,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17961&CssClass=,
CMA 2023 #16,2023-01-23 Regular,2023-01-23,2,Awaiting Report Response,,,,Placed on File,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17956&CssClass=,
CMA 2023 #17,2023-01-23 Regular,2023-01-23,3,Appointment,,,,Placed on File,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17975&CssClass=,
CMA 2023 #18,2023-01-23 Regular,2023-01-23,4,Awaiting Report Response,,POR 2022 #312,,Placed on File,5-3-1-0,yes,yes,yes,no,no,yes,present,no,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17957&CssClass=,
